"id","action","law_id","law_code","law_name","detail","actor","created_at"
"27","requirement","6","LA-006","กฎกระทรวง กำหนดมาตรฐานเกี่ยวกับระบบการจัดการด้านความปลอดภัย พ.ศ. ๒๕๖๕","ปรับเป็นยังไม่สอดคล้อง: ในกรณีที่นายจ้างได้จัดให้มีระบบการจัดการด้านความปลอดภัยตามมาตรฐาน
ผลิตภัณฑ์อุตสา","QA & SHE","2026-07-29T15:04:16.52524+00:00"
"28","requirement","6","LA-006","กฎกระทรวง กำหนดมาตรฐานเกี่ยวกับระบบการจัดการด้านความปลอดภัย พ.ศ. ๒๕๖๕","ปรับเป็นสอดคล้อง: ในกรณีที่นายจ้างได้จัดให้มีระบบการจัดการด้านความปลอดภัยตามมาตรฐาน
ผลิตภัณฑ์อุตสา","QA & SHE","2026-07-29T15:04:17.16732+00:00"
"29","register","1399","LA-044","กฎหมายทดสอบ P18 (ลบได้)","เพิ่มเข้าทะเบียน + ประเมินรายข้อ (ผู้รับผิดชอบ: ทดสอบ P18)","QA & SHE","2026-08-01T06:42:18.038289+00:00"
"32","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นสอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:51:39.891732+00:00"
"33","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:53:58.017474+00:00"
"34","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นสอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:54:03.477598+00:00"
"35","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:54:45.010224+00:00"
"36","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นสอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:57:46.636606+00:00"
"37","requirement","30","LA-031","กฎกระทรวงการอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2567","ปรับเป็นยังไม่สอดคล้อง: คุณสมบัติผู้ที่จะขอรับใบอนุญาตเป็นผู้ชำนาญการด้านความปลอดภัย
1. มีสัญชาติไทย
2. ","QA & SHE","2026-08-02T13:57:49.082474+00:00"
"38","register","1402","LA-044","กฎกระทรวงควบคุมสถานประกอบกิจการที่เป็นอันตรายต่อสุขภาพ พ.ศ. ๒๕๖๐","เพิ่มเข้าทะเบียน + ประเมินรายข้อ (ผู้รับผิดชอบ: Safety) (จาก AI สรุป — ผู้ใช้ตรวจทานแล้ว)","QA & SHE","2026-08-13T03:51:55.93844+00:00"
"39","duplicate_override","1402","LA-044","กฎกระทรวงควบคุมสถานประกอบกิจการที่เป็นอันตรายต่อสุขภาพ พ.ศ. ๒๕๖๐","ยืนยันเพิ่มทั้งที่ระบบเตือนว่าอาจซ้ำกับ LA-005 (คล้าย 97%)","QA & SHE","2026-08-13T03:51:56.03595+00:00"
