"id","law_id","seq","text","status","responsible","frequency","documents","note","evaluated_by","evaluated_at","evidence_url","evidence_label","from_related_law","from_law_url","from_law_confidence","ref_answers"
"532","1236","3","ข้อ ๓๓ ให้นายจ้างในสถานประกอบกิจการที่มีลูกจ้างตั้งแต่สองร้อยคนขึ้นไป จัดให้มีหน่วยงานความปลอดภัยภายในสามร้อยหกสิบวันนับแต่วันที่กฎกระทรวงนี้มีผลใช้บังคับ หรือภายในสามร้อยหกสิบวันนับแต่วันที่มีลูกจ้างครบสองร้อยคน","met","Safety","Annual","จำนวนพนักงานในบริษัทฯ",,,,,,,,,"[]"
"533","1236","4","ข้อ ๓๖ ให้นายจ้างแจ้งชื่อเจ้าหน้าที่ความปลอดภัยในการทำงานตามหมวด ๑ เพื่อขึ้นทะเบียนต่อกรมสวัสดิการและคุ้มครองแรงงาน ตามหลักเกณฑ์และวิธีการที่อธิบดีประกาศกำหนด","met","Safety","Annual","ส่งเอกสารแต่งตั้งจป. เพื่อแจ้งขึ้นทะเบียนกับ กรมสวัสดิการและคุ้มครองแรงงานจังหวัด",,,,,,,,,"[]"
"534","1236","5","ข้อ ๓๗ ให้นายจ้างส่งรายงานผลการดำเนินงานของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับเทคนิคขั้นสูงและระดับวิชาชีพต่ออธิบดีหรือผู้ซึ่งอธิบดีมอบหมายตามแบบที่อธิบดีประกาศกำหนด ทุกสามเดือนตามปีปฏิทิน ทั้งนี้ ภายในเวลาไม่เกินสามสิบวันนับแต่วันที่ครบกำหนด","met","Safety","Annual","รายงานผลการดำเนินการเจ้าหน้าที่ความปลอดภัยในการทำงาน (จปว.)",,,,,,,,,"[]"
"503","141","0","-	(มาตรา 41 วรรค 1) ลูกจ้างหญิงมีสิทธิลาคลอดได้ไม่เกิน 120 วัน หรือตามวันที่กำหนดในพระราชกฤษฎีกา โดยนายจ้างต้องจ่ายค่าจ้างในอัตราค่าจ้างในวันทำงานปกติแต่จ่ายไม่เกิน 60 วันหรือตามที่กำหนดในพระราชกฤษฎีก่า
-	(มาตรา 41 วรรค 4) ลูกจ้างหญิงที่ใช้สิทธิลาคลอดแล้ว มีสิทธิลาต่อเนื่องเพื่อเลี้ยงดูบุตรได้อีกไม่เกิน 15 วัน สำหรับกรณีที่บุตรเจ็บป่วยเสี่ยงต่อการเกิดโรคแทรกซ้อน มีความผิดปกติ หรือมีภาวะความพิการ (ต้องแสดงใบรับรองแพทย์) โดยนายจ้างต้องจ่ายค่าจ้างในอัตรา 15% ของค่าจ้างสำหรับวันที่ลา
-	(มาตรา 41/1) ลูกจ้างมีสิทธิลาเพื่อช่วยเหลือคู่สมรสที่คลอดบุตรได้ไม่เกิน 15 วัน (ต้องใช้สิทธิก่อนหรือในวันที่ลา ภายใน 90 วันนับแต่วันคลอดบุตร) โดยนายจ้างต้องจ่ายค่าจ้างในอัตราค่าจ้างในวันทำงานปกติตลอดระยะเวลาที่ลา แต่ไม่เกิน 15 วัน","met",,,,,,,,,,,,"[]"
"535","1236","6","ข้อ ๓๘ เมื่อลูกจ้างประสบอันตราย เจ็บป่วย หรือสูญหายตามกฎหมายว่าด้วยเงินทดแทนให้นายจ้างแจ้งการประสบอันตราย เจ็บป่วย หรือสูญหายต่ออธิบดีหรือผู้ซึ่งอธิบดีมอบหมายตามหลักเกณฑ์และวิธีการที่อธิบดีประกาศกำหนด ภายในสิบห้าวันนับแต่วันที่นายจ้างทราบหรือควรจะได้ทราบถึงการประสบอันตราย เจ็บป่วย หรือสูญหาย","met","Safety","Annual","รายงานผลการดำเนินการเจ้าหน้าที่ความปลอดภัยในการทำงาน (จปว.)",,,,,,,,,"[]"
"536","1236","7","ข้อ ๔๐ นายจ้างต้องจัดทำสำเนาบันทึก รายงานการดำเนินงาน หรือรายงานการประชุมเกี่ยวกับการดำเนินการของคณะกรรมการและหน่วยงานความปลอดภัย เก็บไว้ในสถานประกอบกิจการเป็นเวลาไม่น้อยกว่าสองปีนับแต่วันจัดทำ และพร้อมที่จะให้พนักงานตรวจแรงงานตรวจสอบ","met","Safety","Annual","บันทึกการประชม คปอ.ประจำเดือน",,,,,,,,,"[]"
"537","1236","8","ข้อ ๔๑ ให้นายจ้างส่งสำเนารายชื่อคณะกรรมการและหน้าที่รับผิดชอบตามข้อ ๓๒ ต่ออธิบดีหรือผู้ซึ่งอธิบดีมอบหมายภายในสิบห้าวันนับแต่วันที่แต่งตั้งหรือเปลี่ยนแปลงกรรมการ","met","Safety","Annual","จัดทำประกาศแต่งตั้ง และส่งสำเนาประกาศ",,,,,,,,,"[]"
"538","1238","0","2. ให้นายจ้างติดประกาศสัญลักษณ์เตือนอันตราย และเครื่องหมายเกี่ยวกับความปลอดภัยฯ ให้เหมาะสมกับลักษณะและสภาพการทำงานในที่ที่เห็นได้ง่าย ณ สถานประกอบกิจการ","met","Safety
Data center
MTN
Implement",,,,,,,,,,,"[]"
"539","1238","1","3. ให้นายจ้างติดประกาศข้อความแสดงสิทธิและหน้าที่ของนายจ้างและลูกจ้างตามที่กำหนดไว้ในประกาศฉบับนี้ ในที่ที่เห็นได้ง่าย ณ สถานประกอบกิจการ ซึ่งต้องประกอบด้วยข้อความต่อไปนี้","met","Safety",,,,,,,,,,,"[]"
"540","1238","2","(1) นายจ้างและลูกจ้างมีหน้าที่ในการปฏิบัติตามพระราชบัญญัติความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2554","met","Safety",,,,,,,,,,,"[]"
"541","1238","3","(2) นายจ้างมีหน้าที่จัดและดูแลสถานประกอบการและลูกจ้างให้มีสภาพการทำงานและสภาพแวดล้อมในการทำงานที่ปลอดภัยและถูกสุขลักษณะ","met","Safety",,,,,,,,,,,"[]"
"542","1238","4","(3) นายจ้างมีหน้าที่จัดและดูแลให้ลูกจ้างสวมใส่อุปกรณ์ป้องกันอันตรายส่วนบุคคล","met","Safety
Data center
MTN
Implement",,,,,,,,,,,"[]"
"543","1238","5","(4) นายจ้างมีหน้าที่จัดให้ผู้บริหาร หัวหน้างานและลูกจ้างทุกคนได้รับการฝึกอบรมให้สามารถบริหารจัดการและดำเนินงานด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงานได้อย่างปลอดภัย","met","Safety
QA",,,,,,,,,,,"[]"
"544","1238","6","(5) นายจ้างมีหน้าที่แจ้งให้ลูกจ้างทราบถึงอันตรายที่อาจเกิดขึ้นจากการทำงานและแจกคู่มือปฏิบัติงานให้ลูกจ้างทุกคน","met","Safety",,,,,,,,,,,"[]"
"545","1238","7","(6) นายจ้างมีหน้าที่ติดประกาศ คำเตือน คำสั่ง หรือคำวินิจฉัยของอธิบดีกรมสวัสดิการและคุ้มครองแรงงาน พนักงานตรวจความปลอดภัย หรือคณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน แล้วแต่กรณี","met","Safety",,,,,,,,,,,"[]"
"62","93","0","พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541 — ชั่วโมงทำงาน วันหยุด ค่าล่วงเวลา สวัสดิการ และคณะกรรมการสวัสดิการ","met","HR / Safety","Annual","ข้อบังคับเกี่ยวกับการทำงาน","",,,,,,,,"[]"
"504","142","0","การติดตั้งแผงโซล่าเซลล์ที่มีน้ำหนักรวมในบริเวณที่ติดตั้งไม่เกิน 20 กิโลกรัม/ตารางเมตร บนหลังคาของอาคาร ไม่ต้องขออนุญาตก่อสร้าง (อ.1)","met",,,,,,,,,,,,"[]"
"546","1238","8","(7) นายจ้างเป็นผู้ออกค่าใช้จ่ายในการดำเนินงานด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน","met","Safety
OFP",,,,,,,,,,,"[]"
"547","1238","9","(8) ลูกจ้างมีหน้าที่ให้ความร่วมมือกับนายจ้างในการดำเนินการและส่งเสริมด้านความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน โดยคำนึงถึงสภาพของงานและหน้าที่รับผิดชอบ","met","ทุกคน",,,,,,,,,,,"[]"
"548","1238","10","(9) ลูกจ้างมีหน้าที่แจ้งข้อบกพร่องของสภาพการทำงานหรือการชำรุดเสียหายของอาคาร สถานที่ เครื่องมือ เครื่องจักร หรืออุปกรณ์ ที่ไม่สามารถแก้ไขด้วยตนเองต่อเจ้าหน้าที่ความปลอดภัยในการทำงาน หัวหน้างาน หรือผู้บริหาร","met","ทุกคน",,,,,,,,,,,"[]"
"549","1238","11","(10) ลูกจ้างมีหน้าที่สวมใส่อุปกรณ์คุ้มครองความปลอดภัยส่วนบุคคลที่นายจ้างจัดให้และดูแลให้สามารถใช้งานได้","met","ทุกคน",,,,,,,,,,,"[]"
"550","1238","12","(11) ในสถานที่ที่มีสถานประกอบกิจการหลายแห่ง ลูกจ้างมีหน้าที่ปฏิบัติตามหลักเกณฑ์เกี่ยวกับความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงานของนายจ้าง และสถานประกอบกิจการอื่นที่ไม่ใช่ของนายจ้างด้วย","met","ทุกคน",,,,,,,,,,,"[]"
"551","1238","13","(12) ลูกจ้างมีสิทธิได้รับความคุ้มครองจากการเลิกจ้าง หรือถูกโยกย้ายหน้าที่การงานเพราะเหตุที่ฟ้องร้อง เป็นพยาน ให้หลักฐาน หรือให้ข้อมูลเกี่ยวกับความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงานต่อพนักงานตรวจความปลอดภัย คณะกรรมการความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน หรือศาล","met","ทุกคน",,,,,,,,,,,"[]"
"552","1238","14","(13) ลูกจ้างมีสิทธิได้รับค่าจ้างหรือสิทธิประโยชน์อื่นใด ในระหว่างหยุดการทำงานหรือหยุดกระบวนการผลิตตามคำสั่งของพนักงานตรวจความปลอดภัย เว้นแต่ลูกจ้างที่จงใจกระทำการอันเป็นเหตุให้มีการหยุดการทำงานหรือหยุดกระบวนการผลิต","met","ทุกคน",,,,,,,,,,,"[]"
"553","1282","0","ปฏิบัติตามสิทิ์ประกันพระราชบัญญัติเงินทดแทนกรณีผู้ประกันตนประสบอันตรายเจ็บป่วยจากการทำงาน","met",,,,,,,,,,,,"[]"
"554","1352","0","ข้อ 4 ให้นายจ้างจัดให้มีคณะกรรมการสวัสดิการภายใน 30 วัน นับตั้งแต่วันที่มีลูกจ้างครบ 50 คน","met",,,,,,,,,,,,"[]"
"555","1352","1","ข้อ 6 ให้ลูกจ้างในสถานประกอบกิจการทุกคนมีสิทธิสมัครรับเลือกตั้ง และมีสิทธิลงคะแนนเสียงเลือกตั้ง โดยวิธีการทางอิเล็กทรอนิกส์","met",,,,,,,,,,,,"[]"
"800","120","1","2. การควบคุมความมั่นคงปลอดภัยไซเบอร์
","met",,,,,,,,,,,,"[]"
"498","136","0","""เพื่อยกเว้นภาษีเงินได้ ภาษีมูลค่าเพิ่ม ภาษีธุรกิจเฉพาะ และอากรแสตมป์ในบางกรณี
-	ให้ยกเว้นภาษีเงินได้ สำหรับการบริจาคผ่านระบบบริจาคอิเล็คทรอนิกส์ให้แก่สำนักงานบริหารและพัฒนาองค์ความรู้ (องค์กรมหาชน)
ที่ได้กระทำตั้งแต่วันที่ 1 มกราคม 2568 – 31 ธันวาคม 2568 โดยสำหรับนิติบุคคล ให้ยกเว้นสำหรับเงินได้จำนวน 2 เท่าของรายจ่ายที่บริจาค ไม่ว่าจะได้จ่ายเป็นเงินหรือทรัพย์สิน
-	ต้องนำเงินได้ที่ได้รับยกเว้นข้างต้น มารวมคำนวณกับรายจ่ายที่ได้มีพระราชกฤษฎีกาที่ออกตามความในประมวลรัษฎากรกำหนดให้มีการได้รับยกเว้นภาษีเงินได้เป็นจำนวน 2 เท่าของรายจ่ายและไม่เกินร้อยละ 10 ของกำไรสุทธิก่อนหักรายจ่ายเพื่อการกุศลสาธารณะหรือเพื่อการสาธารณประโยชน์ และรายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬาตามมาตรา 65 ตรี (3) (ข) แห่งประมวลรัษฎากร และ เมื่อรวมคำนวณรายจ่ายตามข้างต้นแล้ว ต้องไม่เกินร้อยละ 10 ของกำไรสุทธิก่อนหักรายจ่ายเพื่อการกุศลสาธารณะหรือเพื่อการสาธารณประโยชน์ และรายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬาตามมาตรา 65 ตรี (3) (ข) แห่งประมวลรัษฎากร
-	ให้ยกเว้นภาษีเงินได้ ภาษีมูลค่าเพิ่ม ภาษีธุรกิจเฉพาะ และอากรแสตมป์ ให้แก่นิติบุคคล สำหรับเงินได้ที่ได้รับจากการโอนทรัพย์สิน หรือการขายสินค้า หรือสำหรับการกระทำตราสารอันเนื่องมาจากการบริจาคให้แก่สำนักงานบริหาร และพัฒนาองค์ความรู้ (องค์การมหาชน) โดยผู้โอนจะต้องไม่นำต้นทุนของทรัพย์สินหรือสินค้า ซึ่งได้รับยกเว้นภาษีดังกล่าวมาหักเป็นค่าใช้จ่ายในการคำนวณภาษีเงินได้ของนิติบุคคล สำหรับการบริจาคที่ได้กระทำตั้งแต่วันที่ 1 มกราคม 2568 – 31 ธันวาคม 2568 
-	นิติบุคคลที่ได้ใช้สิทธิยกเว้นภาษีเงินได้ ตามพระราชกฤษฎีกานี้ ต้องไม่นำเงินบริจาคที่ได้ใช้สิทธิยกเว้นภาษีเงินได้ดังกล่าวไปหักลดหย","met",,,,,,,,,,,,"[]"
"505","143","0","-	ตั้งแต่วันที่ 1 มกราคม 2569 – 31 ธันวาคม 2571 จำนวนค่าจ้างไม่ต่ำกว่าเดือนละ 1,650 บาท แต่ไม่เกิน 17,500 บาท
-	ตั้งแต่วันที่ 1 มกราคม 2572 – 31 ธันวาคม 2574 จำนวนไม่ต่ำกว่าเดือนละ 1,650 บาท แต่ไม่เกิน 20,000 บาท
-	ตั้งแต่วันที่ 1 มกราคม 2575 เป็นต้นไป จำนวนไม่ต่ำกว่าเดอนละ 1,650 บาท แต่ไม่เกิน 23,000 บาท","met",,,,,,,,,,,,"[]"
"875","1402","0","ข้อ ๒๔: สถานประกอบกิจการที่ตั้งขึ้นก่อนวันที่กฎกระทรวงนี้มีผลใช้บังคับ ต้องดำเนินการปรับปรุงแก้ไขให้เป็นไปตามกฎกระทรวงนี้ภายในหนึ่งปีนับแต่วันที่กฎกระทรวงนี้มีผลใช้บังคับ","unmet","ผู้ดำเนินกิจการ/สถานประกอบกิจการที่ตั้งขึ้นก่อนวันบังคับใช้","ครั้งเดียว (ภายในกำหนดเวลา)","-",,"QA & SHE","2026-08-13T03:51:55.401+00:00",,,,,,"[]"
"744","85","9","10. การใช้บันไดไต่ชนิดเคลื่อนย้ายได้, บันไดไต่ชนิดติดตรึงกับที่ที่มีความสูงเกิน 6 เมตรขึ้นไป, ขาหยั่งหรือม้ายืน นายจ้างต้องดูแลบันได ขาหยั่งหรือม้ายืนให้ปลอดภัยต่อการใช้งาน และเป็นไปตามที่กฎกระทรวงฉบับนี้กำหนด","met",,,,,,,,,,,,"[]"
"499","137","0","เพื่อยกเว้นภาษีเงินได้ ภาษีมูลค่าเพิ่ม ภาษีธุรกิจเฉพาะ และอากรแสตมป์ในบางกรณี
-	ให้ยกเว้นภาษีเงินได้ สำหรับการบริจาคผ่านระบบบริจาคอิเล็คทรอนิกส์ให้แก่สภากาชาดไทยหรือมูลนิธิที่ได้กระทำตั้งแต่วันที่ 1 มกราคม 2568 – 31 ธันวาคม 2568 โดยสำหรับนิติบุคคล ให้ยกเว้นสำหรับเงินได้จำนวน 2 เท่าของรายจ่ายที่บริจาค ไม่ว่าจะได้จ่ายเป็นเงินหรือทรัพย์สิน
-	ต้องนำเงินได้ที่ได้รับยกเว้นข้างต้น มารวมคำนวณกับรายจ่ายที่ได้มีพระราชกฤษฎีกาที่ออกตามความในประมวลรัษฎากรกำหนดให้มีการได้รับยกเว้นภาษีเงินได้เป็นจำนวน 2 เท่าของรายจ่ายและไม่เกินร้อยละ 10 ของกำไรสุทธิก่อนหักรายจ่ายเพื่อการกุศลสาธารณะหรือเพื่อการสาธารณประโยชน์ และรายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬาตามมาตรา 65 ตรี (3) (ข) แห่งประมวลรัษฎากร และ เมื่อรวมคำนวณรายจ่ายตามข้างต้นแล้ว ต้องไม่เกินร้อยละ 10 ของกำไรสุทธิก่อนหักรายจ่ายเพื่อการกุศลสาธารณะหรือเพื่อการสาธารณประโยชน์ และรายจ่ายเพื่อการศึกษาหรือเพื่อการกีฬาตามมาตรา 65 ตรี (3) (ข) แห่งประมวลรัษฎากร
-	ให้ยกเว้นภาษีเงินได้ ภาษีมูลค่าเพิ่ม ภาษีธุรกิจเฉพาะ และอากรแสตมป์ ให้แก่นิติบุคคล สำหรับเงินได้ที่ได้รับจากการโอนทรัพย์สิน หรือการขายสินค้า หรือสำหรับการกระทำตราสารอันเนื่องมาจากการบริจาคให้แก่สำนักงานบริหาร และพัฒนาองค์ความรู้ (องค์การมหาชน) โดยผู้โอนจะต้องไม่นำต้นทุนของทรัพย์สินหรือสินค้า ซึ่งได้รับยกเว้นภาษีดังกล่าวมาหักเป็นค่าใช้จ่ายในการคำนวณภาษีเงินได้ของนิติบุคคล สำหรับการบริจาคที่ได้กระทำตั้งแต่วันที่ 1 มกราคม 2568 – 31 ธันวาคม 2568 
-	นิติบุคคลที่ได้ใช้สิทธิยกเว้นภาษีเงินได้ ตามพระราชกฤษฎีกานี้ ต้องไม่นำเงินบริจาคที่ได้ใช้สิทธิยกเว้นภาษีเงินได้ดังกล่าวไปหักลดหย่อนเป็นเงินบริจาคตามมาตรา 4","met",,,,,,,,,,,,"[]"
"165","1","0","3. การแจ้งการดำเนินการหรือส่งเอกสารต่ออธิบดี ผู้ซึ่งอธิบดีมอบหมายหรือพนักงานตรวจแรงงาน นายจ้างอาจแจ้งหรือส่งทางสื่ออิเล็กทรอนิกส์สำหรับการแจ้งหรือส่งดังต่อไปนี้","met",,,,,,,,,,,,"[]"
"166","1","1","แบบการแจ้งทางสื่ออิเล็กทรอนิกส์ ให้เป็นไปตามแบบท้ายประกาศนี้แนบท้าย
- แบบแจ้งรายละเอียดของสารเคมีอันตรายในสถานประกอบการ(แบบ สอ.1)
- แบบรายงานผลการฝึกซ้อมดับเพลิงและฝึกซ้อมหนีไฟ 
- แบบรายงานการแจ้งผลการตรวจสุขภาพที่พบความผิดปกติหรือการเจ็บป่วย การให้การรักษาพยาบาล และการป้องกัน แก้ไข
- แบบรายงานผลการตรวจสุขภาพของลูกจ้างที่ผิดปกติหรือเจ็บป่วยซึ่งได้รับอันตรายจากความร้อน แสง เสียง
- แบบรายงานผลการดำเนินงานของเจ้าหน้าที่ความปลอดภัยในการทำงานระดับวิชาชีพ (แบบ จป.(ว))","met",,,,,,,,,,,,"[]"
"167","1","2","4. นายจ้างที่มีรายชื่อสถานประกอบการอยู่ในระบบฐานข้อมูลของกรมสวัสดิการและคุ้มครองแรงงาน หากประสงค์จะแจ้งการดำเนินการหรือส่งเอกสาร ต้องลงทะเบียนเพื่อขอรับชื่อผู้ใช้ (user name) และรหัสผู้ใช้(password) ทางระบบเครือข่ายอินเตอร์เน็ต (www.labour.go.th)  *** การลงทะเบียนเพื่อขอรับชื่อผู้ใช้และรหัสผู้ใช้ทางระบบเครือข่ายอินเตอร์เน็ตเพื่อแจ้งการดำเนินการหรือส่งเอกสารทางสื่ออิเล็กทรอนิกส์ ไม่เป็นการตัดสิทธิของนายจ้างในการแจ้งการดำเนินการหรือส่งเอกสารด้วยตนเอง ทางไปรษณีย์ หรือทางโทรสาร แต่อย่างใด","met",,,,,,,,,,,,"[]"
"168","1","3","5. เมื่อนายจ้างได้รับชื่อผู้ใช้และรหัสผู้ใช้แล้ว นายจ้างสามารถแจ้งการดำเนินการหรือส่งเอกสารทางสื่ออิเล็กทรอนิกส์ผ่านระบบเครือข่ายอินเตอร์เน็ต (www.labour.go.th)*** การแจ้งการดำเนินการหรือส่งเอกสาร ให้ถือว่าอธิบดี ผู้ซึ่งอธิบดีมอบหมายหรือพนักงานตรวจแรงงานได้รับแจ้งหรือได้รับเอกสารในวันและเวลาตามที่ปรากฏที่เครื่องคอมพิวเตอร์แม่ข่ายกรมสวัสดิการและคุ้มครองแรงงาน","met",,,,,,,,,,,,"[]"
"169","2","0","มาตรา ๖ ให้นายจ้างมีหน้าที่จัดและดูแลสถานประกอบกิจการและลูกจ้างให้มีสภาพการทำงานและสภาพแวดล้อมในการทำงานที่ปลอดภัยและถูกสุขลักษณะ รวมทั้งส่งเสริมสนับสนุนการปฏิบัติงานของลูกจ้างมิให้ลูกจ้างได้รับอันตรายต่อชีวิต ร่างกาย จิตใจ และสุขภาพอนามัย","met",,,,,,,,,,,,"[]"
"170","2","1","มาตรา ๘ ให้นายจ้างบริหาร จัดการ และดำเนินการด้านความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน ให้เป็นไปตามมาตรฐานที่กำหนดในกฎกระทรวง","met",,,,,,,,,,,,"[]"
"171","2","2","มาตรา ๑๓ ให้นายจ้างจัดให้มีเจ้าหน้าที่ความปลอดภัยในการทำงานและจะต้องขึ้นทะเบียนต่อกรมสวัสดิการและคุ้มครองแรงงาน","met",,,,,,,,,,,,"[]"
"172","2","3","มาตรา ๑๖ ให้นายจ้างจัดให้ผู้บริหาร หัวหน้างาน และลูกจ้างทุกคนได้รับการฝึกอบรม ความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน ในกรณีที่นายจ้างรับลูกจ้างเข้างาน เปลี่ยนงาน เปลี่ยนสถานที่ทำงาน หรือเปลี่ยนแปลงเครื่องจักรหรืออุปกรณ์","met",,,,,,,,,,,,"[]"
"173","2","4","มาตรา ๑๗ ให้นายจ้างติดประกาศสัญลักษณ์เตือนอันตรายและเครื่องหมายเกี่ยวกับความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน","met",,,,,,,,,,,,"[]"
"174","2","5","มาตรา ๒๒ ให้นายจ้างจัดและดูแลให้ลูกจ้างสวมใส่อุปกรณ์คุ้มครองความปลอดภัยส่วนบุคคลที่ได้มาตรฐานตามที่อธิบดีประกาศกำหนด","met",,,,,,,,,,,,"[]"
"175","2","6","มาตรา ๒๘ การประชุมคณะกรรมการต้องมีกรรมการมาประชุมไม่น้อยกว่ากึ่งหนึ่งของจำนวนกรรมการทั้งหมด","met",,,,,,,,,,,,"[]"
"176","2","7","มาตรา ๓๒ เพื่อประโยชน์ในการควบคุม กำกับ ดูแลการดำเนินการด้านความปลอดภัยอาชีวอนามัย และสภาพแวดล้อมในการทำงาน","met",,,,,,,,,,,,"[]"
"177","2","8","5.  ติดประกาศสัญลักษณ์เตือนอันตรายและเครื่องหมายเกี่ยวกับความปลอดภัย อาชีวอนามัยและสภาพแวดล้อมในการทำงาน","met",,,,,,,,,,,,"[]"
"178","2","9","6. ติดข้อความแสดงสิทธิและหน้าที่ของนายจ้างและลูกจ้างในที่เห็นได้ง่าย ณ สถานประกอบการ","met",,,,,,,,,,,,"[]"
